time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010502349642	111.044	12.6993	1.54089	-0.521573	-0.17796	lidar	5.51094	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.137	12.7369	1.71928	-0.466483	-0.130479	radar	2.36028	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.86	12.4303	1.73068	-0.198504	0.076992	lidar	2.33188	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.869	12.429	1.77684	-0.19184	0.0826196	radar	0.119184	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.76	12.5136	1.88072	0.121286	0.2036	lidar	1.03347	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.776	12.518	1.86893	0.126137	0.205897	radar	0.209431	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.678	12.1788	1.85113	-0.118211	-0.033847	lidar	2.82332	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.731	12.1959	1.9943	-0.10556	-0.019248	radar	0.850641	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.898	11.9977	2.2048	-0.0953515	0.000384361	lidar	0.696323	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.895	11.9977	2.1939	-0.0962256	-0.00052475	radar	0.017528	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.759	12.253	1.90822	0.12931	0.121875	lidar	1.82828	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.809	12.2523	2.029	0.130115	0.12158	radar	0.619384	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.411	12.7977	2.6493	0.281974	0.13181	lidar	5.93224	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.344	12.7975	2.51451	0.295585	0.143781	radar	1.03363	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	125.062	12.8672	1.752	0.179024	0.0102254	lidar	9.31349	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.185	12.8944	2.11784	0.167102	0.00234409	radar	4.94735	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.735	13.3098	2.58323	0.155347	-0.00398653	lidar	3.32628	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.695	13.3058	2.55047	0.156955	-0.00330196	radar	0.548628	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.988	13.7	2.39331	0.16925	0.00565053	lidar	0.384598	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.044	13.7057	2.43488	0.168118	0.0051741	radar	1.16009	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.143	14.4815	2.25937	0.367078	0.117937	lidar	1.14996	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.227	14.4785	2.45613	0.345791	0.0959582	radar	1.75038	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	134.971	15.0574	2.78855	0.192907	-0.0529128	lidar	2.98494	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	134.972	15.0533	2.72297	0.192912	-0.0521026	radar	0.390899	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.555	16.1689	2.79153	0.433173	0.11704	lidar	1.44565	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.599	16.1646	2.898	0.417826	0.0997	radar	0.505733	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.315	17.0347	2.88208	0.32682	-0.0140287	lidar	0.664031	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.329	17.0368	2.90969	0.323842	-0.0168833	radar	0.0544242	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.916	17.9924	2.81222	0.349772	0.0091407	lidar	0.193742	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.885	17.9878	2.83011	0.347812	0.00428384	radar	0.815409	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.405	19.149	2.81055	0.446884	0.0614182	lidar	0.181444	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.491	19.1545	2.94269	0.428423	0.0436784	radar	1.78239	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.221	20.465	3.06578	0.465325	0.0378165	lidar	0.231361	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.207	20.4662	3.01579	0.473998	0.0476448	radar	0.121142	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.698	22.1021	3.01379	0.619583	0.107321	lidar	0.190199	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.715	22.0935	3.11025	0.594534	0.0767453	radar	0.718373	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.403	23.5156	3.06947	0.491389	-0.0338141	lidar	0.662904	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.391	23.5133	3.03605	0.496794	-0.0277402	radar	0.0637201	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.049	24.816	3.00627	0.433981	-0.0491034	lidar	0.0325125	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.027	24.8141	2.91586	0.446015	-0.0342905	radar	0.359413	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.856	26.0192	3.10447	0.373869	-0.0588694	lidar	0.593684	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.883	26.0232	3.11707	0.371562	-0.0595293	radar	0.321006	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.464	27.4135	2.95958	0.486174	0.0463519	lidar	1.04162	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.477	27.4186	2.94274	0.490346	0.0523735	radar	0.242551	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.693	28.7915	2.66921	0.583971	0.0823125	lidar	1.2031	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.806	28.8025	2.84795	0.550875	0.0502888	radar	2.9092	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.72	30.1873	3.21806	0.412803	-0.0699824	lidar	3.1289	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.681	30.1792	3.08472	0.429453	-0.0513783	radar	0.70688	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.164	31.3872	2.8282	0.43214	-0.0177864	lidar	1.11003	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.178	31.3885	2.85516	0.428833	-0.0211842	radar	0.0613299	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.105	32.3399	3.09039	0.268948	-0.107703	lidar	1.33081	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.097	32.335	2.99577	0.27154	-0.103599	radar	0.546123	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.692	33.44	2.84301	0.375838	0.020057	lidar	1.18879	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.658	33.4375	2.7694	0.381448	0.0265856	radar	0.271529	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.066	34.2294	2.58993	0.322543	-0.0229036	lidar	0.59413	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.073	34.2302	2.57962	0.322454	-0.0225204	radar	0.0688448	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.02	35.1114	3.07914	0.268062	-0.0422772	lidar	3.86425	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	179.908	35.0905	2.81067	0.281028	-0.0293252	radar	3.18595	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.596	35.7567	2.81839	0.22313	-0.0460307	lidar	0.0151091	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.497	35.7371	2.63167	0.227601	-0.0420339	radar	2.36589	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.782	36.5038	2.4541	0.311746	0.0325773	lidar	0.783772	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.758	36.5025	2.36315	0.316839	0.0384054	radar	0.31976	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.957	36.9698	2.28196	0.215927	-0.0421079	lidar	0.431234	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187.019	36.9825	2.37065	0.211773	-0.0449166	radar	1.04348	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.435	37.4027	2.48734	0.145861	-0.0563723	lidar	0.217612	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.445	37.4016	2.40523	0.142691	-0.0589454	radar	0.94249	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.747	37.5719	2.35634	0.0402594	-0.0840047	lidar	0.0693241	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.706	37.5606	2.25837	0.0334248	-0.0905292	radar	0.44362	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.559	37.3036	1.92471	-0.176131	-0.161994	lidar	2.02929	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.578	37.3122	1.99719	-0.164293	-0.150158	radar	0.223448	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.896	37.3467	2.27666	0.0149794	0.0413059	lidar	3.47199	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.801	37.334	2.06882	-0.013356	0.019456	radar	2.17685	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	197.74	37.6947	1.98389	0.206783	0.129803	lidar	0.684278	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
1477010538349642	197.697	37.6873	1.92449	0.202299	0.12734	radar	0.510979	197.582	37.303	197.683	37.2395	1.81869	-0.159495
